original_id,original_type,normalized_id,normalized_type,PubMedID
trastuzumab deruxtecan,drug,trastuzumab deruxtecan,drug,39491462
metastatic breast cancer,disease,metastatic breast cancer,disease,39491462
patients,class_id,patients,class_id,39491462
her2 amplification,semantic_types,her2 amplification,semantic_types,39491462
antibody drug conjugates,drug,antibody drug conjugates,drug,39491462
renal toxicity,adverse event,renal toxicity,adverse event,39488644
hematological toxicity,adverse event,hematological toxicity,adverse event,39488644
peptide receptor radionuclide therapy (PRRT),treatment,peptide receptor radionuclide therapy (PRRT),treatment,39488644
neuroendocrine tumor (NET) patients,patient group,neuroendocrine tumor (NET) patients,patient group,39488644
renal function,physiological function,renal function,physiological function,39488644
hematological function,physiological function,hematological function,physiological function,39488644
177Lu dotatate,drug,177Lu dotatate,drug,39488644
90Y dotatoc,drug,90Y dotatoc,drug,39488644
white blood cell counts (WBC),physiological measurement,white blood cell counts (WBC),physiological measurement,39488644
platelet counts,physiological measurement,platelet counts,physiological measurement,39488644
hemoglobin levels,physiological measurement,hemoglobin levels,physiological measurement,39488644
overall survival (OS),clinical outcome,overall survival (OS),clinical outcome,39488644
progression free survival (PFS),clinical outcome,progression free survival (PFS),clinical outcome,39488644
vinpocetine,drug,vinpocetine,drug,39480853
hepatocellular carcinoma,disease,hepatocellular carcinoma,disease,39480853
rats,organism,rats,organism,39480853
diethylnitrosamine,drug,diethylnitrosamine,drug,39480853
livers,anatomical structure,livers,anatomical structure,39480853
ccnd1,protein,ccnd1,protein,39480853
ki 67,protein,ki 67,protein,39480853
bcl-2,protein,bcl-2,protein,39480853
bax,protein,bax,protein,39480853
cleaved caspase 3,protein,cleaved caspase 3,protein,39480853
nf-kb,protein,nf-kb,protein,39480853
stat3,protein,stat3,protein,39480853
hif-1,protein,hif-1,protein,39480853
icam-1,protein,icam-1,protein,39480853
tgf-1,protein,tgf-1,protein,39480853
nab sirolimus,preferred_label,nab sirolimus,preferred_label,39487711
temozolomide,preferred_label,temozolomide,preferred_label,39487711
irinotecan,preferred_label,irinotecan,preferred_label,39487711
thrombocytopenia,preferred_label,thrombocytopenia,preferred_label,39487711
Ewing sarcoma,preferred_label,Ewing sarcoma,preferred_label,39487711
skin cancer,disease,skin cancer,disease,39485529
melanoma,disease,melanoma,disease,39485529
BRAF inhibitors,drug,BRAF inhibitors,drug,39485529
vemurafenib,drug,vemurafenib,drug,39485529
dabrafenib,drug,dabrafenib,drug,39485529
MEK inhibitors,drug,MEK inhibitors,drug,39485529
trametinib,drug,trametinib,drug,39485529
cobimetinib,drug,cobimetinib,drug,39485529
immune checkpoint inhibitors,drug,immune checkpoint inhibitors,drug,39485529
ipilimumab,drug,ipilimumab,drug,39485529
onco nephrology,preferred_label,onco nephrology,preferred_label,39482406
renal events,preferred_label,renal events,preferred_label,39482406
cancer patients,preferred_label,cancer patients,preferred_label,39482406
renal toxicity,preferred_label,renal toxicity,preferred_label,39482406
kidney protective measures,preferred_label,kidney protective measures,preferred_label,39482406
adult patients,preferred_label,adult patients,preferred_label,39482406
anti tumor treatments,preferred_label,anti tumor treatments,preferred_label,39482406
questionnaire,preferred_label,questionnaire,preferred_label,39482406
solid tumor,preferred_label,solid tumor,preferred_label,39482406
renal adverse events,preferred_label,renal adverse events,preferred_label,39482406
anticancer treatment,preferred_label,anticancer treatment,preferred_label,39482406
hydration,preferred_label,hydration,preferred_label,39482406
nausea vomiting,preferred_label,nausea vomiting,preferred_label,39482406
alkaline water,preferred_label,alkaline water,preferred_label,39482406
dehydration,preferred_label,dehydration,preferred_label,39482406
information,preferred_label,information,preferred_label,39482406
online resources,preferred_label,online resources,preferred_label,39482406
patients,preferred_label,patients,preferred_label,39482406
educational sheets,preferred_label,educational sheets,preferred_label,39482406
trastuzumab,drug,trastuzumab,drug,39478296
corneal ulceration,disease,corneal ulceration,disease,39478296
breast cancer,disease,breast cancer,disease,39478296
metastatic breast cancer,disease,metastatic breast cancer,disease,39478296
corneal ulcer,disease,corneal ulcer,disease,39478296
keratoplasty,procedure,keratoplasty,procedure,39478296
ocular surface therapy,procedure,ocular surface therapy,procedure,39478296
patient,person,patient,person,39478296
eye infection,disease,eye infection,disease,39478296
optometrist,profession,optometrist,profession,39478296
inavolisib,drug,inavolisib,drug,39476340
pik3ca,gene,pik3ca,gene,39476340
palbociclib,drug,palbociclib,drug,39476340
fulvestrant,drug,fulvestrant,drug,39476340
breast cancer,disease,breast cancer,disease,39476340
neutropenia,adverse event,neutropenia,adverse event,39476340
hyperglycemia,adverse event,hyperglycemia,adverse event,39476340
stomatitis,adverse event,stomatitis,adverse event,39476340
diarrhea,adverse event,diarrhea,adverse event,39476340
gefitinib,drug,gefitinib,drug,39472861
chemotherapy,treatment,chemotherapy,treatment,39472861
bevacizumab,drug,bevacizumab,drug,39472861
epidermal growth factor receptor (EGFR),gene,epidermal growth factor receptor (EGFR),gene,39472861
pemetrexed,drug,pemetrexed,drug,39472861
carboplatin,drug,carboplatin,drug,39472861
non squamous non small cell lung cancer (NSCLC),disease,non squamous non small cell lung cancer (NSCLC),disease,39472861
neutropenia,adverse event,neutropenia,adverse event,39472861
thrombocytopenia,adverse event,thrombocytopenia,adverse event,39472861
nausea,adverse event,nausea,adverse event,39472861
skin rash,adverse event,skin rash,adverse event,39472861
bleeding,adverse event,bleeding,adverse event,39472861
increased ALT,adverse event,increased ALT,adverse event,39472861
combination therapy,treatment,combination therapy,treatment,39472861
afatinib,drug,afatinib,drug,39471023
non small cell lung cancer,disease,non small cell lung cancer,disease,39471023
epidermal growth factor receptor,protein,epidermal growth factor receptor,protein,39471023
egfr mutations,genetic mutation,egfr mutations,genetic mutation,39471023
elderly patients,patient demographic,elderly patients,patient demographic,39471023
physical condition,clinical characteristic,physical condition,clinical characteristic,39471023
comorbidities,medical condition,comorbidities,medical condition,39471023
initial dosage,treatment parameter,initial dosage,treatment parameter,39471023
dose adjustments,treatment parameter,dose adjustments,treatment parameter,39471023
retrospective analysis,study design,retrospective analysis,study design,39471023
cancer centers,medical facility,cancer centers,medical facility,39471023
brain metastases,medical condition,brain metastases,medical condition,39471023
toxicities,adverse effect,toxicities,adverse effect,39471023
Vietnam,geographical location,Vietnam,geographical location,39471023
neoadjuvant chemotherapy,may_treat,neoadjuvant chemotherapy,may_treat,39468597
ovarian cancer,has disease,ovarian cancer,has disease,39468597
nanoparticle albumin bound paclitaxel,may_treat,nanoparticle albumin bound paclitaxel,may_treat,39468597
carboplatin,may_treat,carboplatin,may_treat,39468597
unresectable ovarian cancer,has disease,unresectable ovarian cancer,has disease,39468597
neutropenia,adverse event occurs in,neutropenia,adverse event occurs in,39468597
alopecia,adverse event occurs in,alopecia,adverse event occurs in,39468597
nivolumab,drug,nivolumab,drug,39468513
chemotherapy,drug,chemotherapy,drug,39468513
gastric cancer,disease,gastric cancer,disease,39468513
her2,gene,her2,gene,39468513
programmed cell death ligand 1,protein,programmed cell death ligand 1,protein,39468513
neutropenia,adverse event,neutropenia,adverse event,39468513
thrombocytopenia,adverse event,thrombocytopenia,adverse event,39468513
diarrhea,adverse event,diarrhea,adverse event,39468513
anemia,adverse event,anemia,adverse event,39468513
head and neck squamous cell carcinoma,class_id,head and neck squamous cell carcinoma,class_id,39467871
cisplatin based chemoradiotherapy,class_id,cisplatin based chemoradiotherapy,class_id,39467871
toxicities,preferred_label,toxicities,preferred_label,39467871
patients,preferred_label,patients,preferred_label,39467871
low skeletal muscle mass,preferred_label,low skeletal muscle mass,preferred_label,39467871
experiences,preferred_label,experiences,preferred_label,39467871
