source,target,original_relation,normalized_relation,PubMedID
trastuzumab deruxtecan,metastatic breast cancer,may_treat,may_treat,39491462
patients,trastuzumab deruxtecan,occurs in patient treated with drug,occurs in patient treated with drug,39491462
trastuzumab deruxtecan,her2 amplification,may_prevent,may_prevent,39491462
her2 amplification,antibody drug conjugates,has part,has part,39491462
renal toxicity,peptide receptor radionuclide therapy (PRRT),adverse event occurs in,adverse event occurs in,39488644
hematological toxicity,peptide receptor radionuclide therapy (PRRT),adverse event occurs in,adverse event occurs in,39488644
neuroendocrine tumor (NET) patients,peptide receptor radionuclide therapy (PRRT),treated with drug,treated with drug,39488644
renal function,neuroendocrine tumor (NET) patients,may affect,may affect,39488644
hematological function,neuroendocrine tumor (NET) patients,may affect,may affect,39488644
177Lu dotatate,90Y dotatoc,drug compared to,drug associated with AE in adolescent,39488644
177Lu dotatate,progression free survival (PFS),associated with outcome,drug associated with AE in adolescent,39488644
90Y dotatoc,overall survival (OS),associated with outcome,drug associated with AE in adolescent,39488644
vinpocetine,hepatocellular carcinoma,may_treat,may_treat,39480853
vinpocetine,rats,occurs in organism,occurs in,39480853
vinpocetine,diethylnitrosamine,treated with drug,treated with drug,39480853
vinpocetine,livers,located_in,located_in,39480853
vinpocetine,ccnd1,downregulated expression of,bearer of,39480853
vinpocetine,ki 67,downregulated expression of,bearer of,39480853
vinpocetine,bcl-2,exhibited anti effects on,exhibited anti effects on,39480853
vinpocetine,bax,enhanced levels of,bearer of,39480853
vinpocetine,cleaved caspase 3,enhanced levels of,bearer of,39480853
vinpocetine,nf-kb,deactivated,deactivated,39480853
vinpocetine,stat3,deactivated,deactivated,39480853
vinpocetine,hif-1,deactivated,deactivated,39480853
vinpocetine,icam-1,reduced levels of,bearer of,39480853
vinpocetine,tgf-1,reduced levels of,bearer of,39480853
nab sirolimus,temozolomide,combined with,drug associated with AE,39487711
nab sirolimus,irinotecan,combined with,drug associated with AE,39487711
thrombocytopenia,nab sirolimus,associated with AE,drug associated with AE,39487711
Ewing sarcoma,nab sirolimus,has disease,has disease,39487711
BRAF inhibitors,vemurafenib,combined therapy,combined therapy,39485529
BRAF inhibitors,dabrafenib,combination therapy,combination therapy,39485529
MEK inhibitors,trametinib,combination therapy,combination therapy,39485529
MEK inhibitors,cobimetinib,combination therapy,combination therapy,39485529
immune checkpoint inhibitors,ipilimumab,combination therapy,combination therapy,39485529
renal toxicity,anticancer treatment,induced_by,induced_by,39482406
kidney protective measures,hydration,may_prevent,may_prevent,39482406
kidney protective measures,nausea vomiting,may_prevent,may_prevent,39482406
dehydration,alkaline water,corrected by,corrected by,39482406
patients,information,may_prevent,may_prevent,39482406
information,online resources,source,source,39482406
patients,educational sheets,induced_by,induced_by,39482406
trastuzumab,corneal ulceration,drug associated with AE,drug associated with AE,39478296
trastuzumab,breast cancer,may_treat,may_treat,39478296
trastuzumab,metastatic breast cancer,may_treat,may_treat,39478296
patient,eye infection,has disease,has disease,39478296
patient,optometrist,consulted for,consulted for,39478296
corneal ulcer,keratoplasty,treated with procedure,drug associated with AE in adolescent,39478296
corneal ulcer,ocular surface therapy,treated with procedure,drug associated with AE in adolescent,39478296
inavolisib,pik3ca,drug associated with gene,drug associated with AE,39476340
inavolisib,palbociclib,drug combination,drug associated with AE in adolescent,39476340
palbociclib,fulvestrant,drug combination,drug associated with AE in adolescent,39476340
breast cancer,pik3ca,associated disease gene mutation,has disease,39476340
inavolisib,neutropenia,adverse event association,adverse event association,39476340
inavolisib,hyperglycemia,adverse event association,adverse event association,39476340
inavolisib,stomatitis,adverse event association,adverse event association,39476340
inavolisib,diarrhea,adverse event association,adverse event association,39476340
gefitinib,combination therapy,may_treat,may_treat,39472861
chemotherapy,combination therapy,may_treat,may_treat,39472861
bevacizumab,combination therapy,may_treat,may_treat,39472861
pemetrexed,combination therapy,may_treat,may_treat,39472861
carboplatin,combination therapy,may_treat,may_treat,39472861
EGFR,gefitinib,drug associated with AE,drug associated with AE,39472861
non squamous NSCLC,combination therapy,has disease,has disease,39472861
neutropenia,combination therapy,adverse event occurs in,adverse event occurs in,39472861
