source,target,original_relation,normalized_relation,PubMedID
nonsmallcell lung cancer,egfr exon20ins nsclc,has disease,has disease,34339292
egfr exon20ins nsclc,amivantamab,treated with drug,treated with drug,34339292
amivantamab,tyrosine kinase inhibitor,adverse event occurs in,adverse event occurs in,34339292
amivantamab,immune celldirecting activity,has part,has part,34339292
chrysalis,egfr exon20ins nsclc,has part,has part,34339292
overall response rate,egfr exon20ins nsclc,realized in,realized in,34339292
recommended phase ii dose,amivantamab,has part,has part,34339292
infusion-related reaction,amivantamab,drug AE occurs in,drug AE occurs in,34339292
paronychia,amivantamab,drug AE occurs in,drug AE occurs in,34339292
hypokalemia,amivantamab,drug AE occurs in,drug AE occurs in,34339292
pulmonary embolism,amivantamab,drug AE occurs in,drug AE occurs in,34339292
diarrhea,amivantamab,drug AE occurs in,drug AE occurs in,34339292
neutropenia,amivantamab,drug AE occurs in,drug AE occurs in,34339292
platinum-based chemotherapy,nonsmallcell lung cancer,may prevent,may_prevent,34339292
mitochondrial unfolded protein response,breast cancer,has role in,adverse event occurs in,34338986
mitochondrial unfolded protein response,cisplatin,sensitivity to,anteriorly connected to,34338986
cisplatin,clpp,increases level of,bearer of,34338986
cisplatin,hsp,increases level of,bearer of,34338986
cisplatin,lonp1,increases level of,bearer of,34338986
nicotinamide ribose,breast cancer,promotes proliferation and invasion in,adverse event occurs in,34338986
sirt3,breast cancer,increases mitochondrial unfolded protein response in,adverse event occurs in,34338986
sirt3,breast cancer,inhibits effect of,bearer of,34338986
photothermal therapy,inflammation,adverse event occurs in,adverse event occurs in,34338525
photothermal therapy,immune escape,adverse event occurs in,adverse event occurs in,34338525
photothermal therapy,metastasis,adverse event occurs in,adverse event occurs in,34338525
photothermal therapy,normal cell,adverse event occurs in,adverse event occurs in,34338525
mildtemperature ptt,nanosystem,may_treat,may_treat,34338525
nanosystem,hepg2 cancer cell,composed primarily of,composed primarily of,34338525
hepg2 cancer cell,nanoparticles,bearer of,bearer of,34338525
nanoparticles,triphenylphosphineconjugated lonidamine,composed primarily of,composed primarily of,34338525
nanoparticles,heat shock protein,induced_by,induced_by,34338525
heat shock protein,cancer cell,protects,protects,34338525
nanoparticles,physicochemical property,has part,has part,34338525
physicochemical property,antitumor efficacy,produces,produces,34338525
nanoparticles,hepg2 cell membrane,surrounded_by,surrounded_by,34338525
nanoparticles,circulation time,realized in,realized in,34338525
mildtemperature ptt,atp,adverse event occurs in,adverse event occurs in,34338525
atp,cancer cell,produces,produces,34338525
nanocomposites,biomedical application,may_treat,may_treat,34338525
Posttransplant lymphoproliferative disorder,Brentuximab vedotin,may_treat,may_treat,34338127
Posttransplant lymphoproliferative disorder,Rituximab,may_treat,may_treat,34338127
Brentuximab vedotin,Rituximab,treated with drug,treated with drug,34338127
Brentuximab vedotin,Neutropenia,drug associated with AE,drug associated with AE,34338127
Brentuximab vedotin,Hypertension,drug associated with AE,drug associated with AE,34338127
Brentuximab vedotin,Infection,drug associated with AE,drug associated with AE,34338127
Brentuximab vedotin,Peripheral neuropathy,drug associated with AE,drug associated with AE,34338127
Fluorouracil,Intestinal mucositis,may induce,may induce,34337082
Curcumin,Inflammation,may prevent,may_prevent,34337082
Curcumin,Intestinal epithelial cells,protects,protects,34337082
Curcumin,IL-STAT3 signaling pathway,inhibits,inhibits,34337082
portal vein tumor thrombosis,transarterial chemoembolization,treated with drug,treated with drug,34337041
portal vein tumor thrombosis,hepatic arterial infusion chemotherapy,treated with drug,treated with drug,34337041
Hepatocellular carcinoma,portal vein tumor thrombosis,has disease,has disease,34337041
fluoropyrimidines,cancer patient,treated with drug,treated with drug,34331561
cancer patient,toxicity,adverse event occurs in,adverse event occurs in,34331561
pharmacogenes,polymorphism,has part,has part,34331561
gastrointestinal cancer patient,fluoropyrimidines,occurs in patient treated with drug,occurs in patient treated with drug,34331561
polymorphism,genotyping technology,realized in,realized in,34331561
ancestry analysis,population,realized in,realized in,34331561
gene,toxicity,associated with AE,drug associated with AE,34331561
gene,biomarkers,may diagnose,may_diagnose,34331561
brazilian amazon,population,located_in,located_in,34331561
cyclophosphamide,bortezomib,combined with,drug associated with AE,34331111
cyclophosphamide,fludarabine,combined with,drug associated with AE,34331111
mcl,cyclophosphamide,treated with drug,treated with drug,34331111
mcl,bortezomib,treated with drug,treated with drug,34331111
mcl,fludarabine,treated with drug,treated with drug,34331111
mcl,neutropenia,drug AE occurs in,drug AE occurs in,34331111
mcl,thrombocytopenia,drug AE occurs in,drug AE occurs in,34331111
Therapeutic Drug Management,Colorectal Cancer,may_treat,may_treat,34330885
Therapeutic Drug Management,Fluorouracil-based Chemotherapy,may_treat,may_treat,34330885
Fluorouracil-based Chemotherapy,Chemotherapy Toxicity,adverse event occurs in,adverse event occurs in,34330885
Fluorouracil-based Chemotherapy,Chemotherapy Efficacy,adverse event outcome,adverse event outcome,34330885
soft tissue sarcoma,talimogene laherparepvec,drug associated with AE,drug associated with AE,34330766
soft tissue sarcoma,radiation therapy,may_treat,may_treat,34330766
talimogene laherparepvec,oncolytic virotherapy,induces,induces,34330766
talimogene laherparepvec,melanoma,may_treat,may_treat,34330766
oncolytic virotherapy,sarcoma,may_treat,may_treat,34330766
herpes simplex virus type 1,sarcoma,drug associated with AE,drug associated with AE,34330766
caspase-3,sarcoma,is evidence of,is evidence of,34330766
neoadjuvant folfirinox,chemoradiation with carboplatinpaclitaxel,treated with drug,treated with drug,34330715
gastric cancer,neoadjuvant folfirinox,may_treat,may_treat,34330715
gastroesophageal cancer,neoadjuvant folfirinox,may_treat,may_treat,34330715
ctdna,disease recurrence,predictor of,composed primarily of,34330715
olaparib,platinum-resistant ovarian cancer,may_treat,may_treat,34329939
olaparib,BRCA,drug associated with AE,drug associated with AE,34329939
olaparib,high-grade serous or endometrioid ovarian carcinoma,may_treat,may_treat,34329939
olaparib,pegylated liposomal doxorubicin (PLD),treated with drug,treated with drug,34329939
progressive multifocal leukoencephalopathy,john cunningham virus,caused by,caused by,34329579
CD4,HIV infection,resulting from,resulting from,34329579
CD4,chemotherapy,resulting from,resulting from,34329579
CD4,immunosuppressive therapy,resulting from,resulting from,34329579
rituximab,john cunningham virus,potentially allowing infection to occur,anteriorly connected to,34329579
rituximab,non-hodgkin lymphoma,treatment for,treatment for,34329579
rituximab,rheumatoid arthritis,treatment for,treatment for,34329579
rituximab,chronic lymphocytic leukaemia,treatment for,treatment for,34329579
rituximab,granulomatosis with polyangiitis,treatment for,treatment for,34329579
rituximab,microscopic polyangiitis,treatment for,treatment for,34329579
rituximab,pemphigus vulagris,treatment for,treatment for,34329579
classical hodgkin lymphoma,brentuximab vedotin,may_treat,may_treat,34329577
brentuximab vedotin,ifosfamide,connected to,connected to,34329577
ifosfamide,carboplatin,connected to,connected to,34329577
carboplatin,etoposide,connected to,connected to,34329577
classical hodgkin lymphoma,autologous haematopoietic stemcell transplantation,may_treat,may_treat,34329577
dosedense bvice,Seattle Cancer Care Alliance,located_in,located_in,34329577
Seattle Cancer Care Alliance,University of Washington,location_of,location_of,34329577
vascular wall,nanoparticles,bounding layer of,bounding layer of,34328715
nanoparticles,cancer drug delivery,may_treat,may_treat,34328715
pselectin,drug nanocrystals,treated with drug,treated with drug,34328715
cupric diethyldithiocarbamate nanocrystals,fucoidan,composed primarily of,composed primarily of,34328715
fucoidan,human umbilical vein endothelial cell,connected to,connected to,34328715
human umbilical vein endothelial cell,pselectin,located_in,located_in,34328715
drug nanocrystals,melanoma,may_treat,may_treat,34328715
sirolimus,mammalian target of rapamycin inhibitor,drug associated with,drug associated with AE,34328215
sirolimus,antiproliferative,property,property,34328215
sirolimus,antiangiogenic,property,property,34328215
sirolimus,immunosuppressive,property,property,34328215
sirolimus,renal transplant patient,may treat,may_treat,34328215
sirolimus,dermatological condition,may treat,may_treat,34328215
sirolimus,tuberous sclerosis complex,may treat,may_treat,34328215
sirolimus,gvhd prophylaxis,may treat,may_treat,34328215
sirolimus,side effects,may cause,may cause,34328215
sirolimus,skin irritation,may cause,may cause,34328215
neurological complication,haematopoietic stem cell transplantation,occurs in patient undergoing,occurs in,34328206
neurological complication,central nervous system infection,may lead to,anteriorly connected to,34328206
neurological complication,vascular complication,may lead to,anteriorly connected to,34328206
neurological complication,pharmacological toxicity,may lead to,anteriorly connected to,34328206
neurological complication,metabolic complication,may lead to,anteriorly connected to,34328206
neurological complication,immune-mediated disorder,may lead to,anteriorly connected to,34328206
neurological complication,post-hsct carcinogenesis,may lead to,anteriorly connected to,34328206
neurological complication,graft-versus-host disease,may lead to,anteriorly connected to,34328206
neurological complication,thrombotic microangiopathy,may lead to,anteriorly connected to,34328206
lactobacillus casei 21l10,ht29 cell line,treated with drug,treated with drug,34327573
ht29 cell line,lipopolysaccharide,induced_by,induced_by,34327573
ht29 cell line,annexin vpi,adverse event outcome,adverse event outcome,34327573
lipopolysaccharide,inflammation,may cause,may cause,34327573
lipopolysaccharide,ht29 cell line,occurs in,occurs in,34327573
ht29 cell line,apoptosis,may involve,may involve,34327573
glucocorticoid excess,metabolic dysfunction,may_cause,may_cause,34325494
dexamethasone,offspring,treated with drug,treated with drug,34325494
streptozotocin,offspring,treated with drug,treated with drug,34325494
streptozotocin,hyperglycemia,induces,induces,34325494
